color,colorhex,colorcount
darkish purple,#751973,1
plum purple,#4e0550,1
neon red,#ff073a,1
blood orange,#fe4b03,1
pinky,#fc86aa,1
red wine,#8c0034,1
shit green,#758000,1
darkish red,#a90308,1
saffron,#feb209,1
twilight,#4e518b,1
petrol,#005f6a,1
butter,#ffff81,1
off yellow,#f1f33f,1
velvet,#750851,1
lightish red,#fe2f4a,1
carnation,#fd798f,1
baby green,#8cff9e,1
purpley,#8756e4,1
baby shit green,#889717,1
dark grey blue,#29465b,1
greeny brown,#696006,1
sunshine yellow,#fffd37,1
bright lime,#87fd05,1
heather,#a484ac,1
peacock blue,#016795,1
merlot,#730039,1
heliotrope,#d94ff5,1
leafy green,#51b73b,1
frog green,#58bc08,1
kiwi,#9cef43,1
ultramarine blue,#1805db,1
turquoise blue,#06b1c4,1
carnation pink,#ff7fa7,1
blue/green,#0f9b8e,1
stone,#ada587,1
french blue,#436bad,1
soft purple,#a66fb5,1
berry,#990f4b,1
baby poop,#937c00,1
irish green,#019529,1
pink/purple,#ef1de7,1
wheat,#fbdd7e,1
bottle green,#044a05,1
shocking pink,#fe02a2,1
auburn,#9a3001,1
bright lime green,#65fe08,1
poop brown,#7a5901,1
barney,#ac1db8,1
ocre,#c69c04,1
maize,#f4d054,1
cherry red,#f7022a,1
pastel yellow,#fffe71,1
canary yellow,#fffe40,1
sepia,#985e2b,1
soft blue,#6488ea,1
golden brown,#b27a01,1
bluish,#2976bb,1
pistachio,#c0fa8b,1
dull orange,#d8863b,1
electric purple,#aa23ff,1
fluorescent green,#08ff08,1
lemon,#fdff52,1
acid green,#8ffe09,1
apricot,#ffb16d,1
true blue,#010fcc,1
reddish,#c44240,1
marine blue,#01386a,1
teal green,#25a36f,1
slate grey,#59656d,1
umber,#b26400,1
jungle green,#048243,1
chocolate brown,#411900,1
neon blue,#04d9ff,1
evergreen,#05472a,1
reddish orange,#f8481c,1
vomit green,#89a203,1
burnt umber,#a0450e,1
pale red,#d9544d,1
raspberry,#b00149,1
aqua green,#12e193,1
greenish brown,#696112,1
pumpkin,#e17701,1
pine green,#0a481e,1
bluish green,#10a674,1
dark cyan,#0a888a,1
olive drab,#6f7632,1
pinkish,#d46a7e,1
powder blue,#b1d1fc,1
dark turquoise,#045c5a,1
bright red,#ff000d,1
pinkish red,#f10c45,1
greyish blue,#5e819d,1
dusty rose,#c0737a,1
brick,#a03623,1
light yellow,#fffe7a,1
light grey,#d8dcd6,1
puke,#a5a502,1
sea blue,#047495,1
slate blue,#5b7c99,1
deep blue,#040273,1
goldenrod,#fac205,1
dark yellow,#d5b60a,1
army green,#4b5d16,1
grey blue,#6b8ba4,1
puke green,#9aae07,1
blue green,#137e6d,1
khaki,#aaa662,1
brick red,#8f1402,1
bright purple,#be03fd,1
pale blue,#d0fefe,1
bright blue,#0165fc,1
pale green,#c7fdb5,1
bright green,#01ff07,1
dolphin,,1
microwave,,1
gamboge,#e49b0f,1
amaranth,#e52b50,1
corduroy,,1
scarlett,#be0119,1
cardinal,#c41e3a,1
hotpink,#ff028d,1
brass,#b5a642,1
roast beef,,1
borange,,1
booty,,1
burrito,,1
cardboard,#a58855,1
jizz,,1
snek,,1
palatinate,#7e317b,1
waffle,,1
dachshund,,1
umbra,#8a7e66,1
charteuese,#c1f80a,1
fog,,1
no favourite color,,1
yellar,#ffff14,1
bob saget,,1
bacon,,1
ebony,,1
customhex1-ffffaa,#ffffaa,1
customhex2-ff5900,#ff5900,1
customhex3-ffc600,#ffc600,1
customhex4-008b8b,#008b8b,1
customhex5-ff0000,#ff0000,1
customhex6-33ffaa,#33ffaa,1
customhex7-00baff,#00baff,1
customhex8-395154,#395154,1
customhex9-008888,#008888,1
customhex10-7acce5,#7acce5,1
customhex12-940387,#940387,1
customhex13-00ff90,#00ff90,1
customhex14-33b6e4,#33b6e4,1
customhex15-be4c53,#be4c53,1
customhex16-23f548,#23f548,1
customhex17-dcdcdc,#dcdcdc,1
customhex18-3364ff,#3364ff,1
customhex19-292e37,#292e37,1
customhex21-42abcd,#42abcd,1
customhex23-b2d235,#b2d235,1
customhex24-2f0060,#2f0060,1
customhex25-7b37a6,#7b37a6,1
customhex26-6f00d8,#6f00d8,1
customhex27-333333,#333333,1
customhex28-e35205,#e35205,1
customhex29-00bcd4,#00bcd4,1
customhex30-69420f,#69420f,1
customhex31-002b36,#002b36,1
customhex32-66ffff,#66ffff,1
customhex33-903581,#903581,1
customhex34-add8e6,#add8e6,1
customhex35-2b292e,#2b292e,1
customhex36-353839,#353839,1
customhex37-c80011,#c80011,1
customhex38-36a2eb,#36a2eb,1
customhex39-0e9bf9,#0e9bf9,1
customhex40-00ff99,#00ff99,1
customhex41-006400,#006400,1
